Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
India,HALDIA,INHAL,24,8,11,20,5.5,"KOLKATA ANCH","East Coast India","Bengal Bay"
Indonesia,"TANJUNG UBAN ANCH",,24,11,13,0,7,,Indonesia,"Singapore Area"
Malaysia,LUMUT,MYLUM,23,2,8,14,8,"LUMUT ANCH",Indonesia,"Malacca Strait"
India,"VISAKHAPATNAM ANCH",,23,4,4,0,5.5,,"East Coast India","Bengal Bay"
Indonesia,BALIKPAPAN,IDBPN,22,23,22,49,8,"BALIKPAPAN BAY ANCH",Indonesia,"Makassar Strait"
Malaysia,"KUALA TERENGGANU",MYTGG,22,11,10,2,8,,Indonesia,"Riau Archipelago"
Indonesia,SURALAYA,IDSRL,22,13,6,1,7,"SURALAYA ANCH",Indonesia,"Java Sea"
Thailand,"OCEAN MARINA",,22,5,9,0,7,,"South-East Asia","Gulf of Thailand"
India,VADINAR,INVAD,21,10,7,17,5.5,"VADINAR ANCH","West Coast India","West Coast India"
Maldives,MALE,MVMLE,21,25,29,11,5,"MALE ANCH","West Coast India","West Coast India"
India,CHENNAI,INMAA,20,19,21,21,5.5,"CHENNAI ANCH","East Coast India","Bengal Bay"
